email,class
"Morning Coffee hack loses 32lbs in 24 days. 1TspUnclogs""Stuck""FatInyourLiver If you cannot see the images below, CLICK HERE",1
Congratulations Exclusive offer - play here Please Check Your Account,1
N͏eed͏ em͏er͏g͏en͏c͏y c͏as͏h͏? Ap͏p͏l͏y n͏ow͏!,1
Sell your timeshare! Get Cash and stop maintenance fees for your Timeshare,1
LinkedIn You have 2 new invitations,0
"Hi there! I am here with a team of Veteran Benefit Specialists and we have great news. We believe you may be able to take advantage of the $42,000 VA Benefit this year. If you would like to view your eligibility, please confirm your information below and proceed by clicking the button below.",1
"Hi Lynn, Congratulations! If you are receiving this email we believe you may be eligible for improved Medicare Benefits and lower monthly premiums in 2022-2023. Medicare gives you one last chance to update your plan this year. Simply confirm a few basic details to see how much you could be saving.",1
"Hello Carrie, Thanks! Your payment was accepted. Account Number: *****34352525 Date Processed: 11/13/22 Payment Amount $36.44",0
Must Read don’t delete or mark as spam! You need to fix your account urgently click the ling below,1
"Carrie Gomez, Reminder: Urgent Item, Your Immediate Attention Recommended People looking for you & at your public information could be co-workers, romantic interests, friends, family members & others. With MyLife, you can see, verify & edit what people find about you online. Improve your public Reputation Profile now.",1
Secure your IRA/401k by investing in precious metals YourIRA/401k.Gold.Success,1
Attention! Missing out on major savings at ART VAN. Come on down and see our wide selection! 50% Off Store wide,1
"Hey John, checkin in to see if you could help out with the network interface diagram",0
"You’ve officially got access to thousands of student savings! Here to take the sting out of everyday life, we bring you the most exclusive deals you won’t get anywhere else, straight from your favourite brands.",1
Your package has been delivered! How was your delivery?,0
Thank you for shopping with us. We’ll send a confirmation when your item ships,0
Online Order Receipt for $16.23 at Commerce Township,0
Help us reach 100K subscribers on YouTube by clicking the link below.,1
An electronic withdrawal was made above your chosen alert limit,0
"Get the most out of your SARMs purchase with us! Our products are 3rd party tested for quality and purity, so you can be sure that what you get is 99.9% pure - no guesswork necessary.",1
The best Snaps are on Spotlight. Keep up with the Snapchat community,1
Thank you for adding funds to your Nintendo Account. These funds can now be used to purchase digital games and content from Nintendo. Details of this transaction are below:,0
You appeared in 8 searches this week You were found by people from these companies,1
Where are you on your journey to retirement? Take 2 minutes to watch this video and see if you are on track to live the life you envision.,1
Ease your busy days with DoorDash and save on fast delivery when you shop from the Offers Hub! Get everything you need from mouthwatering meals to pantry essentials and more.,1
"Good news! Your $1000 no-cost AD&D coverage, courtesy of Credit Union ONE, is now available for you to claim.",1
"Get New Features, Plus $7,500 Toward Your Model 3 or Y",1
"Our gift to you this year, FREE SHIPPING on all US orders",1
Your receipt from Apple.,0
Reaching out to you to inform you of our Year End Clearance Blowout Sale!!! The Holiday Season is upon us...,1
LAST CHANCE! Up to 60% off your faves.,1
Hi there! This is Chegg Customer support. We are contacting you because we received a request to change the email address associated with your Chegg account.,0
Look what's back A brand favorite is back in stock! Grab yours before it's gone again.,1
Your email has been selected for a donation from Johnlisa Foundation contact (info@johnlisafoundation.uk) to claim your donation,1
W͏e ͏h͏a͏v͏e ͏d͏e͏t͏e͏c͏t͏e͏d ͏a͏n ͏i͏s͏s͏u͏e ͏w͏i͏t͏h ͏y͏o͏u͏r ͏c͏u͏r͏r͏e͏n͏t ͏b͏i͏l͏l͏i͏n͏g ͏i͏n͏f͏o͏r͏m͏a͏t͏i͏o͏n. ͏I͏t'͏s ͏a͏p͏p͏e͏a͏r͏e͏d ͏t͏h͏a͏t ͏s͏o͏m͏e ͏o͏f ͏t͏h͏e ͏b͏i͏l͏l͏i͏n͏g ͏d͏e͏t͏a͏i͏l͏s ͏a͏s͏s͏o͏c͏i͏a͏t͏e͏d ͏w͏i͏t͏h ͏y͏o͏u͏r ͏a͏c͏c͏o͏u͏n͏t ͏m͏a͏y ͏h͏a͏v͏e ͏s͏o͏m͏e ͏p͏r͏o͏b͏l͏e͏m ͏o͏r ͏w͏a͏s ͏o͏t͏h͏e͏r͏w͏i͏s͏e ͏c͏h͏a͏n͏g͏e͏d,1
Born before 1976? Then you've gotta see THIS,1
"Can you handle this position account receivables agent for Metscco Heavy Steel Industries Co. Ltd , its customers/client in Canada or USA.",1
"WOW! These women are your perfect matches! Discrete, Beautiful, Women Waiting For You",1
IRS “loophole” protects your retirement from bank confiscations,1
"How are you, Get paid to shop. You make 217$ on every Weekly shopping that you made successfully.",1
"To protect your privacy, this is a reminder that you have your Web & App Activity setting turned on. Web & App Activity is a setting that lets you save to your Google Account the things you do on Google sites, apps, and services, including your searches and associated information, like location and language. It can also give you more personalized experiences across Google, like faster searches and better recommendations.",0
"Greetings from Amazon Web Services, We received a request to reset the password for the AWS account associated with this e-mail address. Click the link below to reset your password using our secure server:",0
"The recipes that New York Times Cooking readers couldn’t get enough of this week are about as hearty and comforting as they come, rich with nourishing ingredients like lentils, squash and, of course, chicken.",0
"Just a quick reminder, your membership from last year expires today. Because you selected recurring payments, your subscription was renewed without your assistance. The ($329.99) annual payment will now be successfully deducted from the updated card on file or the available funds in your account.",1
Thank you for patiently waiting to join the City of Ferndale Compost Program. The City appreciates your interest in separating your food scraps from your trash.,0
Keeping up with your animal companions' health services keeps them happy and healthy. Our records indicate that Sunny and Ozzie are now overdue for the following services and items:,0
"This is not a receipt. The original receipt for this purchase has been sent to the Family Organizer. If you have any questions about your bill, contact support.",0
"With the spring migration right around the corner and winter birding in full swing, eight Michigan state parks have all the tools you need to enjoy this lifelong recreational pursuit. ""Explorer packs,"" stuffed with tools and activities for outdoor learning, are now available to borrow at several state parks and recreation areas, including Bay City, Sleepy Hollow, Pinckney, Port Crescent, Wilderness, Warren Dunes, Tawas Point and Waterloo.",0
"Your card is ready for what’s next After you graduate, keep enjoying your Discover® Card and all its benefits:",0
Rid Your Body of Inflammation in 14 Days (Here's How),1
"Living in Fear of Your Unpaid Taxes? We Can Help! If you are experiencing difficulty viewing this important message,click here",1
"My wife won’t stop hitting on me ever since she watched this video. It’s not that the video is “dirty” or anything like that… In fact, it was created by a devout Christian from Ohio! But the reason my wife is so worked up into a frenzy is because inside this video…",1
Try ViCanna Cannabidiol(CBD) Softgels Risk-Free,1
"Forskolin: #1 Weight Loss Supplement ever Burn FAT Fast, no Diet or Exercise ""lost 20 lbs in just 20 days.""",1
