email,class
"With the spring migration right around the corner and winter birding in full swing, eight Michigan state parks have all the tools you need to enjoy this lifelong recreational pursuit. ""Explorer packs,"" stuffed with tools and activities for outdoor learning, are now available to borrow at several state parks and recreation areas, including Bay City, Sleepy Hollow, Pinckney, Port Crescent, Wilderness, Warren Dunes, Tawas Point and Waterloo.",0
"Your card is ready for what’s next After you graduate, keep enjoying your Discover® Card and all its benefits:",0
Rid Your Body of Inflammation in 14 Days (Here's How),1
"Living in Fear of Your Unpaid Taxes? We Can Help! If you are experiencing difficulty viewing this important message,click here",1
"My wife won’t stop hitting on me ever since she watched this video. It’s not that the video is “dirty” or anything like that… In fact, it was created by a devout Christian from Ohio! But the reason my wife is so worked up into a frenzy is because inside this video…",1
Try ViCanna Cannabidiol(CBD) Softgels Risk-Free,1
"Forskolin: #1 Weight Loss Supplement ever Burn FAT Fast, no Diet or Exercise ""lost 20 lbs in just 20 days.""",1
"Your wallet will soon be suspended.  Dear client, our system shows your wallet has not been verified yet.  The verification process can be done on the page below.  Your wallet will be suspended on Sunday.  Verify your wallet",1
"Hello Student, we are surveying current college students on their opinion of college life.  The next 117 students to take the survey will be sent a $5 gift card.  Start the survey below.  Start the Study",1
"When last have you checked your scores?  To see your April 2023 from Experian, TransUnion and Equifax Reports in one easy to read report go Right Here",1
"You could be at risk- as of April our latest scan reveals 1 new threatto your safety.  1 new negative record found on your relatives.  1 new court record found on your network.  MyLife alerts you when new court, sex offender, lawsuit & other negative records are found on people in your network. These alerts can help you protect your physical, financial & personal wellbeing. Automatically check all your contacts now.Faye, 67% of people lie online about who they are, and 27% have been victims of online fraud. Your free MyLife membership helps protect you before you meet new people. Take these steps now to continue keeping yourself safe: ",1
Plac͏e͏ you͏r͏ or͏d͏er tod͏a͏y and c͏l͏a͏im you͏r͏ Ris͏k͏ Free Tria͏l͏ Bottl͏e͏!  New health routine guaranteed to privide results FAST!!!  ,1
Check out the newest activity for your saved search Homes around your area. Please feel free to contact me if you would like any additional information.,1
Free Crypto!  Enter your wallet ID and password key for a free bitcoin.  Act fast!,1
We are changing our privacy policies effective June 19th.  Please review these changes to understand how they effect you and your account.,0
"Good morning!  I hope this message is reaching you well.  I have not received your submission that was due four days ago.  If there is anything going on please let me know, otherwise I will need to mark you down.  Please let me know soon!",0
"Hey Ania, are you staying for the office party on Thursday?  Trying to do a headcount!",0
"Hi Jeremiah, You've cancelled: Basic Plan for our TV sercices.   Other purchases aren't affected by this cancellation. You'll still be able to access these services until Mar 20, 2023. If you change your mind, you can come on back anytime (although we can't guarantee the same membership price). You can still get help whenever you need it — find answers to your questions or contact support anytime. ",0
"Good afternoon Jamie!  Thank you for applying to our offices for the Information Technology specialist.  We are impressed by your resume and want to speak to you in further detail.  We'd like to schedule a Zoom meeting on Friday at noon, will that time work for you?",0
"Your bank transfer has been initiated.  You can see the status of your bank transfers by visiting your Account Statement.  Bank transfers initiated before 7pm ET on business days will typically be available in your bank account the next business day, but it can take up to 3 business days. Business days are Mon-Fri, excluding bank holidays.  Transfers are reviewed which may result in delays or funds being frozen or removed from your account.  MPORTANT: If you did not make this request, please contact support@company.com or call (855) 555-4430 immediately",0
Items in your cart are still available!  Log back in to finish your purchase,1
Attention Staff: This message is a reminder that we will be closed on this upcoming Saturday while the engineers finish construction in the main lobby.  If you have any Questions please call Sue at 3895555329.,0
"Thank you for coming to Freddie's birthday!  It meant a lot to him you were able to come, and he loves the gift!  I swear, its all hes been playing with yesterday.  I hope you have a great morning!",0
Your request for action on your account has been denied.  If you have any questions please contact support staff below at support4company@gmail.com,0
"Hey jim, I'm really, really sorry to ask but I seriously need $150 to pay for rent.  I got sick with covid and I missed the past week of work.  I swear I'm good for it, I'll pay you back when I get my next check.  If you can let me borrow it for just a couple weeks I'll really owe you one.  Thanks man, hope you have a good one",0
